ID,datetime,Temperature,Humidity,Solo-0,Solo-1,Solo-2,Solo-3,Solo-4
1,4/7/2019 0:52,23.0,93.0,5,37,21,8,20
1, 4/7/2019 1:16:43, 23.0, 92.0, 7, 23, 21, 7, 19
1, 4/7/2019 1:16:48, 23.0, 91.0, 7, 23, 25, 7, 19
1,4/7/2019 1:32:48,23.0,93.0,6,19,22,8,18
1,4/7/2019 1:32:48,23.0,93.0,6,19,22,8,18
1,4/7/2019 1:40:44,23.0,93.0,7,20,24,7,19
1,4/7/2019 1:44:9,23.0,93.0,7,21,22,7,19
1,4/7/2019 1:44:9,23.0,92.0,6,21,22,7,18
1,4/7/2019 1:44:9,23.0,92.0,6,20,22,7,18
1,4/7/2019 2:7:46,23.0,93.0,5,21,22,8,18
1,4/7/2019 2:7:51,23.0,93.0,6,21,22,8,19
1,4/7/2019 2:7:56,23.0,93.0,6,21,22,8,18
1,4/7/2019 2:8:1,23.0,93.0,6,19,22,8,19
1,4/7/2019 2:8:6,23.0,93.0,6,21,22,7,18
1,4/7/2019 2:8:11,23.0,93.0,6,21,22,7,18
1,4/7/2019 2:8:16,23.0,93.0,6,21,22,7,18
1,4/7/2019 2:8:21,23.0,93.0,7,21,22,7,18
1,4/7/2019 2:8:26,23.0,93.0,7,21,22,7,19
1,4/7/2019 2:8:31,23.0,93.0,7,20,22,7,19
1,4/7/2019 2:8:36,23.0,93.0,7,21,22,7,18
1,4/7/2019 2:8:41,23.0,93.0,7,19,22,7,18
1,4/7/2019 2:8:46,23.0,93.0,7,20,22,7,18
1,4/7/2019 2:8:52,23.0,93.0,7,19,22,8,18
1,4/7/2019 2:8:57,23.0,93.0,6,18,25,7,18
1,4/7/2019 2:9:2,23.0,93.0,6,18,22,7,18
1,4/7/2019 2:9:7,23.0,93.0,6,19,25,7,18
1,4/7/2019 2:9:12,23.0,93.0,6,19,22,8,19
1,4/7/2019 2:9:17,23.0,93.0,5,19,22,11,18
1,4/7/2019 2:9:22,23.0,93.0,5,19,22,10,18
1,4/7/2019 2:9:27,23.0,93.0,5,19,22,10,20
1,4/7/2019 2:9:32,23.0,93.0,5,19,22,8,18
1,4/7/2019 2:9:37,23.0,93.0,5,19,22,7,18
1,4/7/2019 2:9:42,23.0,93.0,5,19,22,7,18
1,4/7/2019 2:9:47,23.0,93.0,5,19,22,7,20
1,4/7/2019 2:9:52,23.0,93.0,10,19,22,7,18
1,4/7/2019 2:9:57,23.0,93.0,6,19,23,8,18
1,4/7/2019 2:10:2,23.0,93.0,6,19,23,8,19
1,4/7/2019 2:10:8,23.0,93.0,6,19,23,8,18
1,4/7/2019 2:10:13,23.0,93.0,6,19,22,8,18
1,4/7/2019 2:10:18,23.0,93.0,6,19,22,7,18
1,4/7/2019 2:10:23,23.0,93.0,6,19,22,7,18
1,4/7/2019 2:10:28,23.0,93.0,6,19,22,7,18
1,4/7/2019 2:10:33,23.0,93.0,5,19,22,7,18
1,4/7/2019 2:10:38,23.0,93.0,5,19,22,8,18
1,4/7/2019 2:10:43,23.0,93.0,5,19,22,7,18
1,4/7/2019 2:10:48,23.0,93.0,6,19,22,7,19
1,4/7/2019 2:10:53,23.0,93.0,6,19,22,7,19
1,4/7/2019 2:10:58,23.0,93.0,5,19,22,8,19
1,4/7/2019 2:11:3,23.0,93.0,5,19,25,7,19
1,4/7/2019 2:11:8,23.0,93.0,5,19,23,8,18
1,4/7/2019 2:11:13,23.0,93.0,5,19,22,7,18
1,4/7/2019 2:11:19,23.0,93.0,5,19,22,7,18
1,4/7/2019 2:11:24,23.0,93.0,5,19,22,8,18
1,4/7/2019 2:11:29,23.0,93.0,5,19,22,12,18
1,4/7/2019 2:11:34,23.0,93.0,4,19,22,12,18
1,4/7/2019 2:11:39,23.0,93.0,4,19,22,12,18
1,4/7/2019 2:11:44,23.0,93.0,4,19,22,12,18
1,4/7/2019 2:11:49,23.0,93.0,4,19,23,12,18
1,4/7/2019 2:11:54,23.0,93.0,4,19,22,11,18
1,4/7/2019 2:11:59,23.0,93.0,5,19,22,12,18
1,4/7/2019 2:12:4,23.0,93.0,5,19,22,12,18
1,4/7/2019 2:12:9,23.0,93.0,5,19,23,9,18
1,4/7/2019 2:12:14,23.0,93.0,5,19,22,8,18
1,4/7/2019 2:12:19,23.0,93.0,5,19,25,8,18
1,4/7/2019 2:12:24,23.0,93.0,4,19,22,8,18
1,4/7/2019 2:12:29,23.0,93.0,5,19,22,8,18
1,4/7/2019 2:12:35,23.0,93.0,5,19,22,8,18
1,4/7/2019 2:12:40,23.0,93.0,5,19,22,8,18
1,4/7/2019 2:12:45,23.0,93.0,5,19,22,8,18
1,4/7/2019 2:12:50,23.0,93.0,6,19,22,8,19
1,4/7/2019 2:12:55,23.0,93.0,6,19,22,8,18
1,4/7/2019 2:13:0,23.0,93.0,6,19,22,8,18
1,4/7/2019 2:13:5,23.0,93.0,6,19,22,8,18
1,4/7/2019 2:13:10,23.0,93.0,6,21,24,8,18
1,4/7/2019 2:13:15,23.0,93.0,6,20,22,8,18
1,4/7/2019 2:13:20,23.0,93.0,6,20,22,8,18
1,4/7/2019 2:13:25,23.0,93.0,5,20,22,8,18
1,4/7/2019 2:13:30,23.0,93.0,5,20,22,8,18
1,4/7/2019 2:13:35,23.0,93.0,5,20,22,8,18
1,4/7/2019 2:13:40,23.0,93.0,5,20,22,8,18
1,4/7/2019 2:13:45,23.0,93.0,5,20,22,11,18
1,4/7/2019 2:13:51,23.0,93.0,6,22,22,10,18
1,4/7/2019 2:13:56,23.0,93.0,6,22,22,8,18
1,4/7/2019 2:14:1,23.0,93.0,6,22,26,8,18
1,4/7/2019 2:14:6,23.0,93.0,6,23,22,7,18
1,4/7/2019 2:14:11,23.0,93.0,7,22,22,8,18
1,4/7/2019 2:14:16,23.0,93.0,6,22,22,8,18
1,4/7/2019 2:14:21,23.0,93.0,6,22,22,8,18
1,4/7/2019 2:14:26,23.0,93.0,6,22,22,7,18
1,4/7/2019 2:14:31,23.0,93.0,6,29,22,7,18
1,4/7/2019 2:14:36,23.0,93.0,5,35,22,7,18
1,4/7/2019 2:14:41,23.0,93.0,5,35,22,7,18
1,4/7/2019 2:14:46,23.0,93.0,5,35,21,8,18
1,4/7/2019 2:14:51,23.0,93.0,5,35,23,8,19
1,4/7/2019 2:14:56,23.0,93.0,5,35,22,7,18
1,4/7/2019 2:15:1,23.0,93.0,5,36,21,7,18
1,4/7/2019 2:15:7,23.0,93.0,5,37,21,8,18
1,4/7/2019 2:15:12,23.0,93.0,5,36,22,8,18
1,4/7/2019 2:15:17,23.0,93.0,4,36,21,8,18
1,4/7/2019 2:15:22,23.0,93.0,4,36,25,8,18
1,4/7/2019 2:15:27,23.0,93.0,5,37,21,8,18
1,4/7/2019 2:15:32,23.0,93.0,4,38,21,8,18
1,4/7/2019 2:15:37,23.0,93.0,4,38,21,8,18
1,4/7/2019 2:15:42,23.0,93.0,4,37,22,8,18
1,4/7/2019 2:15:47,23.0,93.0,4,37,26,8,18
1,4/7/2019 2:15:52,23.0,93.0,4,37,21,9,18
1,4/7/2019 2:15:57,23.0,93.0,4,37,21,9,18
1,4/7/2019 2:16:2,23.0,93.0,4,37,21,9,18
1,4/7/2019 2:16:7,23.0,93.0,4,37,21,8,18
1,4/7/2019 2:16:12,23.0,93.0,4,38,21,8,18
1,4/7/2019 2:16:18,23.0,93.0,5,37,21,8,18
1,4/7/2019 2:16:23,23.0,93.0,4,38,21,8,18
1,4/7/2019 2:16:28,23.0,93.0,4,38,21,8,18
1,4/7/2019 2:16:33,23.0,93.0,4,37,22,8,18
1,4/7/2019 2:16:38,23.0,93.0,4,37,22,9,18
1,4/7/2019 2:16:43,23.0,93.0,4,37,22,9,18
1,4/7/2019 2:16:48,23.0,93.0,4,37,22,8,18
1,4/7/2019 2:16:53,23.0,93.0,4,37,22,8,18
1,4/7/2019 2:16:58,23.0,93.0,4,38,22,8,18
1,4/7/2019 2:17:3,23.0,93.0,4,38,22,8,18
1,4/7/2019 2:17:8,23.0,93.0,4,38,22,8,18
1,4/7/2019 2:17:13,23.0,93.0,4,38,22,8,18
1,4/7/2019 2:17:18,23.0,93.0,5,39,22,9,18
1,4/7/2019 2:17:23,23.0,93.0,4,39,22,9,18
1,4/7/2019 2:17:28,23.0,93.0,4,39,22,9,18
1,4/7/2019 2:17:34,23.0,93.0,4,39,22,8,18
1,4/7/2019 2:17:39,23.0,93.0,4,39,24,8,18
1,4/7/2019 2:17:44,23.0,93.0,4,39,22,8,18
1,4/7/2019 2:17:49,23.0,93.0,4,39,22,10,18
1,4/7/2019 2:17:54,23.0,93.0,4,38,22,10,18
1,4/7/2019 2:17:59,23.0,93.0,4,38,22,9,18
1,4/7/2019 2:18:4,23.0,93.0,4,38,22,8,18
1,4/7/2019 2:18:9,23.0,93.0,4,38,22,8,18
1,4/7/2019 2:18:14,23.0,93.0,4,38,21,8,17
1,4/7/2019 2:18:19,23.0,93.0,4,38,22,7,18
1,4/7/2019 2:18:24,23.0,93.0,4,38,22,7,18
1,4/7/2019 2:18:29,23.0,93.0,4,38,22,7,18
1,4/7/2019 2:18:34,23.0,93.0,5,38,22,7,18
1,4/7/2019 2:18:39,23.0,93.0,5,38,22,11,18
1,4/7/2019 2:18:44,23.0,93.0,5,38,22,11,18
1,4/7/2019 2:18:50,23.0,93.0,6,36,21,11,19
1,4/7/2019 2:18:55,23.0,93.0,6,36,21,10,19
1,4/7/2019 2:19:0,23.0,93.0,6,36,25,11,18
1,4/7/2019 2:19:5,23.0,93.0,6,37,21,8,17
1,4/7/2019 2:19:10,23.0,93.0,8,37,21,7,18
1,4/7/2019 2:19:15,23.0,93.0,6,36,22,7,18
1,4/7/2019 2:19:20,23.0,93.0,6,36,21,7,18
1,4/7/2019 2:19:25,23.0,93.0,6,36,21,7,18
1,4/7/2019 2:19:30,23.0,93.0,6,36,21,8,18
1,4/7/2019 2:19:35,23.0,93.0,6,36,22,7,18
1,4/7/2019 2:19:40,23.0,93.0,6,36,22,7,18
1,4/7/2019 2:19:45,23.0,93.0,6,36,22,7,18
1,4/7/2019 2:19:50,23.0,93.0,10,36,21,7,18
1,4/7/2019 2:19:55,23.0,93.0,6,36,22,7,19
1,4/7/2019 2:20:1,23.0,93.0,5,36,24,7,18
1,4/7/2019 2:20:6,23.0,93.0,5,36,21,7,18
1,4/7/2019 2:20:11,23.0,93.0,5,36,25,7,18
